CODIGO_DISTRITAL,NOMBRE,COD,PADRE,,,,,,INSERT PROVINCIA
1,San José,P,0,"INSERT INTO `BASE_DATOS`.`PROVINCIA_CR` (codigo_provincia, nombre_provincia) VALUES(1,'San José');",,,,,"INSERT INTO `BASE_DATOS`.`PROVINCIA_CR` (codigo_provincia, nombre_provincia) VALUES"
117,Dota,C,1,"INSERT INTO `BASE_DATOS`.`CANTON_CR` (codigo_provincia, codigo_canton, nombre_canton) VALUES(1,117,'Dota');",,,,,
11701,Santa María,D,117,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(117,11701,'Santa María');",,,,,
11702,Jardín,D,117,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(117,11702,'Jardín');",,,,,
11703,Copey,D,117,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(117,11703,'Copey');",,,,,
118,Curridabat,C,1,"INSERT INTO `BASE_DATOS`.`CANTON_CR` (codigo_provincia, codigo_canton, nombre_canton) VALUES(1,118,'Curridabat');",,,,,
11801,Curridabat,D,118,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(118,11801,'Curridabat');",,,,,
11802,Granadilla,D,118,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(118,11802,'Granadilla');",,,,,
11803,Sánchez,D,118,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(118,11803,'Sánchez');",,,,,
11804,Tirrases,D,118,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(118,11804,'Tirrases');",,,,,
119,Pérez Zeledón,C,1,"INSERT INTO `BASE_DATOS`.`CANTON_CR` (codigo_provincia, codigo_canton, nombre_canton) VALUES(1,119,'Pérez Zeledón');",,,,,
11901,San Isidro de el General,D,119,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(119,11901,'San Isidro de el General');",,,,,
11902,General,D,119,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(119,11902,'General');",,,,,
11903,Daniel Flores,D,119,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(119,11903,'Daniel Flores');",,,,,
11904,Rivas,D,119,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(119,11904,'Rivas');",,,,,
11905,San Pedro,D,119,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(119,11905,'San Pedro');",,,,,
11906,Platanares,D,119,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(119,11906,'Platanares');",,,,,
11907,Pejibaye,D,119,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(119,11907,'Pejibaye');",,,,,
11908,Cajón,D,119,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(119,11908,'Cajón');",,,,,
11909,Barú,D,119,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(119,11909,'Barú');",,,,,
11910,Río Nuevo,D,119,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(119,11910,'Río Nuevo');",,,,,
11911,Páramo,D,119,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(119,11911,'Páramo');",,,,,
120,León Cortés,C,1,"INSERT INTO `BASE_DATOS`.`CANTON_CR` (codigo_provincia, codigo_canton, nombre_canton) VALUES(1,120,'León Cortés');",,,,,
12001,San Pablo,D,120,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(120,12001,'San Pablo');",,,,,
12002,San Andrés,D,120,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(120,12002,'San Andrés');",,,,,
12003,Llano Bonito,D,120,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(120,12003,'Llano Bonito');",,,,,
12004,San Isidro,D,120,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(120,12004,'San Isidro');",,,,,
12005,Santa Cruz,D,120,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(120,12005,'Santa Cruz');",,,,,
12006,San Antonio,D,120,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(120,12006,'San Antonio');",,,,,
2,Alajuela,P,0,"INSERT INTO `BASE_DATOS`.`PROVINCIA_CR` (codigo_provincia, nombre_provincia) VALUES(2,'Alajuela');",,,,,
201,Alajuela,C,2,"INSERT INTO `BASE_DATOS`.`CANTON_CR` (codigo_provincia, codigo_canton, nombre_canton) VALUES(2,201,'Alajuela');",,,,,
20101,Alajuela,D,201,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(201,20101,'Alajuela');",,,,,
20102,San José,D,201,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(201,20102,'San José');",,,,,
20103,Carrizal,D,201,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(201,20103,'Carrizal');",,,,,
20104,San Antonio,D,201,"INSERT INTO `BASE_DATOS`.`DISTRITO_CR` (codigo_canton,codigo_distrito, nombre_distrito) VALUES(201,20104,'San Antonio');",,,,,
